Username,ID,Post Title,Post Date,Post Link
Amy,170752,Probability and combining random variables,2014-11-23 17:56:00,https://math.stackexchange.com/questions/1035347/probability-and-combining-random-variables
Amy,170752,finding an indefinite integral of a fraction,2014-09-18 12:28:00,https://math.stackexchange.com/questions/936436/finding-an-indefinite-integral-of-a-fraction
Amy,170752,"Indefinite integral of a rational function: $\int\frac{6x+4}{x^2+4}\,dx$",2014-09-08 15:23:00,https://math.stackexchange.com/questions/923823/indefinite-integral-of-a-rational-function-int-frac6x4x24-dx
Amy,170752,Simplifying expression and finding indefinite integral,2014-09-08 14:50:00,https://math.stackexchange.com/questions/923789/simplifying-expression-and-finding-indefinite-integral
Amy,170752,finding the tangents and coordinates,2014-08-26 23:58:00,https://math.stackexchange.com/questions/910379/finding-the-tangents-and-coordinates
Amy,170752,finding local maximum and range of function,2014-08-22 06:30:00,https://math.stackexchange.com/questions/905784/finding-local-maximum-and-range-of-function
Amy,170752,"How to show that the points $(0, 0)$ and $(\sqrt{2 \pi},−\sqrt{2 \pi})$ on the curve $e^{x + y} = \cos(xy)$ have a common tangent?",2014-08-20 14:33:00,https://math.stackexchange.com/questions/904104/how-to-show-that-the-points-0-0-and-sqrt2-pi-%e2%88%92-sqrt2-pi-on-the-c
Anastasiya-Romanova 秀,133248,How to explain this geometry problem to an 8th grader?,2017-01-26 08:04:00,https://math.stackexchange.com/questions/2114690/how-to-explain-this-geometry-problem-to-an-8th-grader
Anastasiya-Romanova 秀,133248,How to explain this geometry problem to an 8th grader?,2017-01-26 08:04:00,https://math.stackexchange.com/questions/2114690/how-to-explain-this-geometry-problem-to-an-8th-grader
Anastasiya-Romanova 秀,133248,"Closed form of $\mathscr{R}=\int_0^{\pi/2}\sin^2x\,\ln\big(\sin^2(\tan x)\big)\,\,dx$",2014-11-04 17:14:00,https://math.stackexchange.com/questions/1006127/closed-form-of-mathscrr-int-0-pi-2-sin2x-ln-big-sin2-tan-x-big
Anastasiya-Romanova 秀,133248,"Closed form of $\mathscr{R}=\int_0^{\pi/2}\sin^2x\,\ln\big(\sin^2(\tan x)\big)\,\,dx$",2014-11-04 17:14:00,https://math.stackexchange.com/questions/1006127/closed-form-of-mathscrr-int-0-pi-2-sin2x-ln-big-sin2-tan-x-big
Anastasiya-Romanova 秀,133248,The Integral of Multiple Tangent Functions,2014-11-04 11:54:00,https://math.stackexchange.com/questions/1005740/the-integral-of-multiple-tangent-functions
Anastasiya-Romanova 秀,133248,The Integral of Multiple Tangent Functions,2014-11-04 11:54:00,https://math.stackexchange.com/questions/1005740/the-integral-of-multiple-tangent-functions
Anastasiya-Romanova 秀,133248,A combination integral and series resulting the inverse tangent integral,2014-11-02 21:34:00,https://math.stackexchange.com/questions/1003213/a-combination-integral-and-series-resulting-the-inverse-tangent-integral
Anastasiya-Romanova 秀,133248,A combination integral and series resulting the inverse tangent integral,2014-11-02 21:34:00,https://math.stackexchange.com/questions/1003213/a-combination-integral-and-series-resulting-the-inverse-tangent-integral
Anastasiya-Romanova 秀,133248,"Closed form of $\displaystyle\int_{0}^{\pi/4}\int_{\pi/2}^{\pi}\frac{(\cos x-\sin x)^{y-2}}{(\cos x+\sin x)^{y+2}}\, dy\, dx$",2014-11-01 22:57:00,https://math.stackexchange.com/questions/1001785/closed-form-of-displaystyle-int-0-pi-4-int-pi-2-pi-frac-cos-x-si
Anastasiya-Romanova 秀,133248,"Closed form of $\displaystyle\int_{0}^{\pi/4}\int_{\pi/2}^{\pi}\frac{(\cos x-\sin x)^{y-2}}{(\cos x+\sin x)^{y+2}}\, dy\, dx$",2014-11-01 22:57:00,https://math.stackexchange.com/questions/1001785/closed-form-of-displaystyle-int-0-pi-4-int-pi-2-pi-frac-cos-x-si
Anastasiya-Romanova 秀,133248,"Show $\int_0^\infty f\left(x+\frac{1}{x}\right)\,\frac{\ln x}{x}\,dx=0$ if $f(x)$ is a bounded non-negative function",2014-11-01 18:27:00,https://math.stackexchange.com/questions/1001430/show-int-0-infty-f-leftx-frac1x-right-frac-ln-xx-dx-0-if-fx
Anastasiya-Romanova 秀,133248,"Show $\int_0^\infty f\left(x+\frac{1}{x}\right)\,\frac{\ln x}{x}\,dx=0$ if $f(x)$ is a bounded non-negative function",2014-11-01 18:27:00,https://math.stackexchange.com/questions/1001430/show-int-0-infty-f-leftx-frac1x-right-frac-ln-xx-dx-0-if-fx
Anastasiya-Romanova 秀,133248,"Prove $\int_0^1\frac{\ln2-\ln\left(1+x^2\right)}{1-x}\,dx=\frac{5\pi^2}{48}-\frac{\ln^22}{4}$",2014-11-01 14:54:00,https://math.stackexchange.com/questions/1001269/prove-int-01-frac-ln2-ln-left1x2-right1-x-dx-frac5-pi248-fra
Anastasiya-Romanova 秀,133248,"Prove $\int_0^1\frac{\ln2-\ln\left(1+x^2\right)}{1-x}\,dx=\frac{5\pi^2}{48}-\frac{\ln^22}{4}$",2014-11-01 14:54:00,https://math.stackexchange.com/questions/1001269/prove-int-01-frac-ln2-ln-left1x2-right1-x-dx-frac5-pi248-fra
Anastasiya-Romanova 秀,133248,"Evaluating $\int_0^{\frac{\pi}{2}}\ln\left(\frac{\ln^2\sin\theta}{\pi^2+\ln^2\sin\theta}\right)\,\frac{\ln\cos\theta}{\tan\theta}\,d\theta$",2014-10-22 11:25:00,https://math.stackexchange.com/questions/985686/evaluating-int-0-frac-pi2-ln-left-frac-ln2-sin-theta-pi2-ln2-si
Anastasiya-Romanova 秀,133248,"Evaluating $\int_0^{\frac{\pi}{2}}\ln\left(\frac{\ln^2\sin\theta}{\pi^2+\ln^2\sin\theta}\right)\,\frac{\ln\cos\theta}{\tan\theta}\,d\theta$",2014-10-22 11:25:00,https://math.stackexchange.com/questions/985686/evaluating-int-0-frac-pi2-ln-left-frac-ln2-sin-theta-pi2-ln2-si
Anastasiya-Romanova 秀,133248,Evaluating $\int_0^\infty \frac{dx}{\sqrt{x}[x^2+(1+2\sqrt{2})x+1][1-x+x^2-x^3+...+x^{50}]}$,2014-10-17 17:50:00,https://math.stackexchange.com/questions/978560/evaluating-int-0-infty-fracdx-sqrtxx212-sqrt2x11-xx2-x3
Anastasiya-Romanova 秀,133248,Evaluating $\int_0^\infty \frac{dx}{\sqrt{x}[x^2+(1+2\sqrt{2})x+1][1-x+x^2-x^3+...+x^{50}]}$,2014-10-17 17:50:00,https://math.stackexchange.com/questions/978560/evaluating-int-0-infty-fracdx-sqrtxx212-sqrt2x11-xx2-x3
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} x\csc^2(x)\arctan \left(\alpha \tan x\right)\, dx = \frac{\pi}{2}\left[\ln\frac{(1+\alpha)^{1+\alpha}}{\alpha^\alpha}\right]$",2014-10-16 13:41:00,https://math.stackexchange.com/questions/976608/prove-int-0-pi-2-x-csc2x-arctan-left-alpha-tan-x-right-dx-fra
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} x\csc^2(x)\arctan \left(\alpha \tan x\right)\, dx = \frac{\pi}{2}\left[\ln\frac{(1+\alpha)^{1+\alpha}}{\alpha^\alpha}\right]$",2014-10-16 13:41:00,https://math.stackexchange.com/questions/976608/prove-int-0-pi-2-x-csc2x-arctan-left-alpha-tan-x-right-dx-fra
Anastasiya-Romanova 秀,133248,Can we consider a hypergeometric function as a closed-form?,2014-10-15 11:08:00,https://math.stackexchange.com/questions/974809/can-we-consider-a-hypergeometric-function-as-a-closed-form
Anastasiya-Romanova 秀,133248,Can we consider a hypergeometric function as a closed-form?,2014-10-15 11:08:00,https://math.stackexchange.com/questions/974809/can-we-consider-a-hypergeometric-function-as-a-closed-form
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^1 \frac{{\rm{Li}}_2(x)\ln(1-x)\ln^2(x)}{x} \,dx=-\frac{\zeta(6)}{3}$",2014-10-12 13:02:00,https://math.stackexchange.com/questions/970106/prove-that-int-01-frac-rmli-2x-ln1-x-ln2xx-dx-frac-zeta
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^1 \frac{{\rm{Li}}_2(x)\ln(1-x)\ln^2(x)}{x} \,dx=-\frac{\zeta(6)}{3}$",2014-10-12 13:02:00,https://math.stackexchange.com/questions/970106/prove-that-int-01-frac-rmli-2x-ln1-x-ln2xx-dx-frac-zeta
Anastasiya-Romanova 秀,133248,"Closed-form of $\sum_{n=1}^\infty\frac{(-1)^{n+1}}{n}\Psi_3(n+1)=-\int_0^1\frac{\ln(1+x)\ln^3 x}{1-x}\,dx$",2014-09-17 12:43:00,https://math.stackexchange.com/questions/934981/closed-form-of-sum-n-1-infty-frac-1n1n-psi-3n1-int-01-frac
Anastasiya-Romanova 秀,133248,"Closed-form of $\sum_{n=1}^\infty\frac{(-1)^{n+1}}{n}\Psi_3(n+1)=-\int_0^1\frac{\ln(1+x)\ln^3 x}{1-x}\,dx$",2014-09-17 12:43:00,https://math.stackexchange.com/questions/934981/closed-form-of-sum-n-1-infty-frac-1n1n-psi-3n1-int-01-frac
Anastasiya-Romanova 秀,133248,Integral of Combination Log and Inverse Trig Function,2014-09-11 10:21:00,https://math.stackexchange.com/questions/927427/integral-of-combination-log-and-inverse-trig-function
Anastasiya-Romanova 秀,133248,Integral of Combination Log and Inverse Trig Function,2014-09-11 10:21:00,https://math.stackexchange.com/questions/927427/integral-of-combination-log-and-inverse-trig-function
Anastasiya-Romanova 秀,133248,Proving $\sum_{k=1}^{\infty}\frac{\sin kx}{x}=\frac{\pi-x}{2}$ for $0\le x\le 2\pi$,2014-09-10 10:29:00,https://math.stackexchange.com/questions/926123/proving-sum-k-1-infty-frac-sin-kxx-frac-pi-x2-for-0-le-x-le-2
Anastasiya-Romanova 秀,133248,Proving $\sum_{k=1}^{\infty}\frac{\sin kx}{x}=\frac{\pi-x}{2}$ for $0\le x\le 2\pi$,2014-09-10 10:29:00,https://math.stackexchange.com/questions/926123/proving-sum-k-1-infty-frac-sin-kxx-frac-pi-x2-for-0-le-x-le-2
Anastasiya-Romanova 秀,133248,"Looking for closed-forms of $\int_0^{\pi/4}\ln^2(\sin x)\,dx$ and $\int_0^{\pi/4}\ln^2(\cos x)\,dx$",2014-09-02 15:45:00,https://math.stackexchange.com/questions/917154/looking-for-closed-forms-of-int-0-pi-4-ln2-sin-x-dx-and-int-0-pi-4
Anastasiya-Romanova 秀,133248,"Looking for closed-forms of $\int_0^{\pi/4}\ln^2(\sin x)\,dx$ and $\int_0^{\pi/4}\ln^2(\cos x)\,dx$",2014-09-02 15:45:00,https://math.stackexchange.com/questions/917154/looking-for-closed-forms-of-int-0-pi-4-ln2-sin-x-dx-and-int-0-pi-4
Anastasiya-Romanova 秀,133248,A closed-form of product the gamma functions containing $\pi$ and $\phi$,2014-09-02 09:29:00,https://math.stackexchange.com/questions/916853/a-closed-form-of-product-the-gamma-functions-containing-pi-and-phi
Anastasiya-Romanova 秀,133248,A closed-form of product the gamma functions containing $\pi$ and $\phi$,2014-09-02 09:29:00,https://math.stackexchange.com/questions/916853/a-closed-form-of-product-the-gamma-functions-containing-pi-and-phi
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^{\pi/2}\ln^2(\cos x)\,dx=\frac{\pi}{2}\ln^2 2+\frac{\pi^3}{24}$",2014-09-01 16:27:00,https://math.stackexchange.com/questions/916085/prove-that-int-0-pi-2-ln2-cos-x-dx-frac-pi2-ln2-2-frac-pi324
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^{\pi/2}\ln^2(\cos x)\,dx=\frac{\pi}{2}\ln^2 2+\frac{\pi^3}{24}$",2014-09-01 16:27:00,https://math.stackexchange.com/questions/916085/prove-that-int-0-pi-2-ln2-cos-x-dx-frac-pi2-ln2-2-frac-pi324
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} \ln \left(x^{2} + (\ln\cos x)^2 \right) \, dx=\pi\ln\ln2 $",2014-08-31 18:58:00,https://math.stackexchange.com/questions/915175/prove-int-0-pi-2-ln-leftx2-ln-cos-x2-right-dx-pi-ln-ln2
Anastasiya-Romanova 秀,133248,"Prove $\int_{0}^{\pi/2} \ln \left(x^{2} + (\ln\cos x)^2 \right) \, dx=\pi\ln\ln2 $",2014-08-31 18:58:00,https://math.stackexchange.com/questions/915175/prove-int-0-pi-2-ln-leftx2-ln-cos-x2-right-dx-pi-ln-ln2
Anastasiya-Romanova 秀,133248,"A closed-form of $\frac{1}{2}\int_0^\infty\left[\frac{x^2\cos x}{\cosh 2x-\cos x}-\frac{2x^2}{e^{4x}-2e^{2x}\cos x+1}\right]\,dx$",2014-08-30 19:38:00,https://math.stackexchange.com/questions/914215/a-closed-form-of-frac12-int-0-infty-left-fracx2-cos-x-cosh-2x-cos-x
Anastasiya-Romanova 秀,133248,"A closed-form of $\frac{1}{2}\int_0^\infty\left[\frac{x^2\cos x}{\cosh 2x-\cos x}-\frac{2x^2}{e^{4x}-2e^{2x}\cos x+1}\right]\,dx$",2014-08-30 19:38:00,https://math.stackexchange.com/questions/914215/a-closed-form-of-frac12-int-0-infty-left-fracx2-cos-x-cosh-2x-cos-x
Anastasiya-Romanova 秀,133248,Closed-forms of infinite series with factorial in the denominator,2014-08-30 18:49:00,https://math.stackexchange.com/questions/914176/closed-forms-of-infinite-series-with-factorial-in-the-denominator
Anastasiya-Romanova 秀,133248,Closed-forms of infinite series with factorial in the denominator,2014-08-30 18:49:00,https://math.stackexchange.com/questions/914176/closed-forms-of-infinite-series-with-factorial-in-the-denominator
Anastasiya-Romanova 秀,133248,"Compute $\lim_{n\to\infty}n^4\int_0^1\frac{x^n\ln^3x}{1+x^n}\ln(1-x)\,dx$",2014-08-23 13:12:00,https://math.stackexchange.com/questions/906862/compute-lim-n-to-inftyn4-int-01-fracxn-ln3x1xn-ln1-x-dx
Anastasiya-Romanova 秀,133248,"Compute $\lim_{n\to\infty}n^4\int_0^1\frac{x^n\ln^3x}{1+x^n}\ln(1-x)\,dx$",2014-08-23 13:12:00,https://math.stackexchange.com/questions/906862/compute-lim-n-to-inftyn4-int-01-fracxn-ln3x1xn-ln1-x-dx
Anastasiya-Romanova 秀,133248,Prove $\int_0^1 \frac{\ln(1+t^{4+\sqrt{15}})}{1+t}\mathrm dt= -\frac{\pi^2}{12}(\sqrt{15}-2)+\ln (2) \ln(\sqrt{3}+\sqrt{5})+\ln(\phi) \ln(2+\sqrt{3})$,2014-08-20 15:19:00,https://math.stackexchange.com/questions/904152/prove-int-01-frac-ln1t4-sqrt151t-mathrm-dt-frac-pi212
Anastasiya-Romanova 秀,133248,Prove $\int_0^1 \frac{\ln(1+t^{4+\sqrt{15}})}{1+t}\mathrm dt= -\frac{\pi^2}{12}(\sqrt{15}-2)+\ln (2) \ln(\sqrt{3}+\sqrt{5})+\ln(\phi) \ln(2+\sqrt{3})$,2014-08-20 15:19:00,https://math.stackexchange.com/questions/904152/prove-int-01-frac-ln1t4-sqrt151t-mathrm-dt-frac-pi212
Anastasiya-Romanova 秀,133248,The other ways to calculate $\int_0^1\frac{\ln(1-x^2)}{x}dx$,2014-08-08 08:53:00,https://math.stackexchange.com/questions/890872/the-other-ways-to-calculate-int-01-frac-ln1-x2xdx
Anastasiya-Romanova 秀,133248,The other ways to calculate $\int_0^1\frac{\ln(1-x^2)}{x}dx$,2014-08-08 08:53:00,https://math.stackexchange.com/questions/890872/the-other-ways-to-calculate-int-01-frac-ln1-x2xdx
Anastasiya-Romanova 秀,133248,Proof of $\int_0^\infty \frac{x^{\alpha}dx}{1+2x\cos\beta +x^{2}}=\frac{\pi\sin (\alpha\beta)}{\sin (\alpha\pi)\sin \beta }$,2014-08-07 16:40:00,https://math.stackexchange.com/questions/890210/proof-of-int-0-infty-fracx-alphadx12x-cos-beta-x2-frac-pi-sin
Anastasiya-Romanova 秀,133248,Proof of $\int_0^\infty \frac{x^{\alpha}dx}{1+2x\cos\beta +x^{2}}=\frac{\pi\sin (\alpha\beta)}{\sin (\alpha\pi)\sin \beta }$,2014-08-07 16:40:00,https://math.stackexchange.com/questions/890210/proof-of-int-0-infty-fracx-alphadx12x-cos-beta-x2-frac-pi-sin
Anastasiya-Romanova 秀,133248,"Having fun integral $\int_0^{\pi/4} \cos x \arctan(\cos x)\, dx$",2014-08-07 16:00:00,https://math.stackexchange.com/questions/890180/having-fun-integral-int-0-pi-4-cos-x-arctan-cos-x-dx
Anastasiya-Romanova 秀,133248,"Having fun integral $\int_0^{\pi/4} \cos x \arctan(\cos x)\, dx$",2014-08-07 16:00:00,https://math.stackexchange.com/questions/890180/having-fun-integral-int-0-pi-4-cos-x-arctan-cos-x-dx
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^1\frac{1-x}{1-x^6}\ln^4x\,dx=\frac{16\sqrt{3}}{729}\pi^5+\frac{605}{54}\zeta(5)$",2014-08-06 14:27:00,https://math.stackexchange.com/questions/889110/prove-that-int-01-frac1-x1-x6-ln4x-dx-frac16-sqrt3729-pi5-fra
Anastasiya-Romanova 秀,133248,"Prove that $\int_0^1\frac{1-x}{1-x^6}\ln^4x\,dx=\frac{16\sqrt{3}}{729}\pi^5+\frac{605}{54}\zeta(5)$",2014-08-06 14:27:00,https://math.stackexchange.com/questions/889110/prove-that-int-01-frac1-x1-x6-ln4x-dx-frac16-sqrt3729-pi5-fra
Anastasiya-Romanova 秀,133248,Prove that $\int_0^1\frac{\ln(1-x)\ln^2x}{x-1}dx=\frac{\pi^4}{180}$,2014-08-06 13:49:00,https://math.stackexchange.com/questions/889076/prove-that-int-01-frac-ln1-x-ln2xx-1dx-frac-pi4180
Anastasiya-Romanova 秀,133248,Prove that $\int_0^1\frac{\ln(1-x)\ln^2x}{x-1}dx=\frac{\pi^4}{180}$,2014-08-06 13:49:00,https://math.stackexchange.com/questions/889076/prove-that-int-01-frac-ln1-x-ln2xx-1dx-frac-pi4180
Anastasiya-Romanova 秀,133248,"An exercise from my brother: $\int_{-1}^1\frac{\ln (2x-1)}{\sqrt[\large 6]{x(1-x)(1-2x)^4}}\,dx$",2014-07-26 15:43:00,https://math.stackexchange.com/questions/878800/an-exercise-from-my-brother-int-11-frac-ln-2x-1-sqrt-large-6x1-x
Anastasiya-Romanova 秀,133248,"An exercise from my brother: $\int_{-1}^1\frac{\ln (2x-1)}{\sqrt[\large 6]{x(1-x)(1-2x)^4}}\,dx$",2014-07-26 15:43:00,https://math.stackexchange.com/questions/878800/an-exercise-from-my-brother-int-11-frac-ln-2x-1-sqrt-large-6x1-x
Anastasiya-Romanova 秀,133248,A closed form of $\sum_{k=1}^\infty\frac{(-1)^{k+1}}{k!}\Gamma^2\left(\frac{k}{2}\right)$,2014-07-26 04:22:00,https://math.stackexchange.com/questions/878477/a-closed-form-of-sum-k-1-infty-frac-1k1k-gamma2-left-frack2
